no,Accuracy,Precision,Recall,F1
0,0.9610511496949788,0.9727817745803358,0.9308168884809546,0.9513367729831145
1,0.9694739065383242,0.9772192550901445,0.9473955943093162,0.9620359697042924
2,0.9738304066426307,0.9803041302591012,0.9551399724644333,0.9675197003672844
3,0.9781202356450731,0.9830947951113002,0.9629703992657183,0.9728792507758084
4,0.9805346681031069,0.9847204370822265,0.9673244607618173,0.9758976452249633
5,0.9830827835894498,0.986863293446555,0.9714700933149762,0.9790614783930583
6,0.9849498204045523,0.9880517345656343,0.9748901855372714,0.9813807739050745
7,0.9865319234889262,0.9892009546495553,0.9776416934373566,0.9833424074727524
8,0.9877363904082179,0.9902600720026045,0.979552292080975,0.9848356110005465
9,0.9887891158143434,0.9910847253422637,0.9813217072051401,0.9861396625518897
