no,Feature,Accuracy,Precision,Recall,F1
0,majority,0.9709260588657573,0.9771241830065359,0.8016085790884718,0.8807069219440353
1,majority,0.9660804020100502,0.9617164539193753,0.7778096371378188,0.8599963181148749
2,majority,0.9666188083273509,0.9624557780227528,0.7812743425422813,0.8624164244659638
3,majority,0.9659009332376166,0.9565685216199585,0.781142922682112,0.8599510044808597
4,majority,0.9657573582196697,0.9572548172959667,0.7793379306389873,0.8591346520245094
5,majority,0.9662000478583392,0.9579274015100797,0.7822468495075339,0.8611697148937189
6,majority,0.9672341298328375,0.9603096548090934,0.7880767710447572,0.8656371642610614
7,majority,0.9665290739411343,0.9597248728726326,0.7831500623646972,0.8623800449653103
8,majority,0.9659009332376167,0.9562633790613878,0.781328503454351,0.8598868469523594
9,majority,0.9662239770279971,0.9570886540584749,0.7831421771730871,0.8613250628419188
0,wight,0.9763101220387652,0.9554896142433235,0.8632707774798928,0.9070422535211268
1,wight,0.9720028715003589,0.9365683365334264,0.848747688205187,0.8904959166765298
2,wight,0.9721225173486481,0.9361435969046372,0.8500140977668181,0.8909991478170788
3,wight,0.971105527638191,0.9280283775651634,0.8507458674427607,0.887644133902699
4,wight,0.9703517587939698,0.9263512734807021,0.8462803400668092,0.8844453494352763
5,wight,0.9703278296243121,0.9247769685882642,0.847836112266013,0.8845712167377879
6,wight,0.970618398113014,0.92555633852416,0.8492750743972949,0.8857193413839337
7,wight,0.9702979181622398,0.9252178792946935,0.8470595403650126,0.8843574476209279
8,wight,0.9696099545345775,0.9221891353367797,0.8446903987039611,0.8816883084997944
9,wight,0.9699210337401292,0.9230338056181306,0.846317615518057,0.8829639220942594
0,meta,0.9752333094041636,0.9634146341463414,0.8471849865951743,0.9015691868758916
1,meta,0.9721823402727925,0.9485747869526888,0.8380309959713839,0.8898780778572093
2,meta,0.9720028715003589,0.9457564447948066,0.839295016081012,0.8893388034371023
3,meta,0.9705671213208902,0.9384840002627716,0.8353536150019354,0.883905511028531
4,meta,0.9698492462311558,0.9372487386717557,0.8307493799372052,0.8807633773042001
5,meta,0.9699688920794448,0.9367945838137647,0.8322198486998992,0.8813873214624203
6,meta,0.9703620141523946,0.938101921261219,0.8339747305210167,0.8829536005088653
7,meta,0.9700735821966977,0.9368301720945578,0.8330032902754082,0.8818488983236163
8,meta,0.9694504267368589,0.9335977191105064,0.8313022991307173,0.879461988918908
9,meta,0.9698492462311558,0.9346166454243077,0.8334661868647044,0.8811225316000509
